Mean_Informativeness,Median_Informativeness,Mode_Informativeness,Mean_Clarity,Median_Clarity,Mode_Clarity,Mean_Effectiveness,Median_Effectiveness,Mode_Effectiveness
6,6,5,6.25,6,6,6.25,6,6
6.666666667,7,7,7,7,7,6.666666667,7,7
6.5,6.5,6,6.25,6.5,7,6.25,6.5,7
6.5,6.5,,5.5,5.5,,6,6,
6.625,7,7,6.125,6,7,6,6,5
5.142857143,5,6,5.142857143,6,6,5.285714286,5,6
5.75,6,6,5.5,6,6,5.25,6,6
5.666666667,6,6,6,6,,4.333333333,5,
5.5,5.5,,5,5,,5.5,5.5,
6.428571429,7,7,6,6,6,6.142857143,6,6
5.5,5.5,,5.5,5.5,,5,5,5
6,6,7,5.6,6,6,5.2,6,3
5.2,5,6,4.333333333,5,5,4.222222222,5,5
6,6,,5,5,,4,4,
5.888888889,5,5,5.777777778,6,7,5.666666667,6,7
6.875,7,7,7,7,7,6.75,7,7
6,6,6,5.25,5.5,6,5.333333333,5,5
6,6,6,5.75,6,6,6,6,6
6,6,,5.333333333,6,,6.5,6.5,
6.2,6,6,6.4,7,7,6,6,6
4.5,4.5,,6,6,,5,5,
6.4,7,7,6.2,6,7,6,6,6
5.857142857,6,6,6.714285714,7,7,5,6,6
4.666666667,5,,5.666666667,6,6,4.666666667,5,
7,7,7,6.5,6.5,6,6.5,6.5,7
5.833333333,6,6,4.833333333,4.5,3,5.166666667,5,5
6.5,6.5,7,6.5,7,7,5.833333333,6,6
5.5,5,5,5.75,5.5,5,5,5,5
6,6,,6.333333333,7,7,6,6,6
6,6,6,5.444444444,6,6,5.375,5,5
6,6,7,6,6,6,6,6,6
6.333333333,6,6,5.666666667,6,6,5.666666667,6,6
6.666666667,7,7,6,6,,5.666666667,5,5
6.25,6.5,7,6.25,6.5,7,5.75,6,7
6,6,7,6.142857143,6,7,5.571428571,6,5
6.666666667,7,7,6.333333333,7,7,7,7,7
6.5,6.5,7,5.25,5,5,6.25,6.5,7
5.5,5.5,6,6,6,6,5.75,6,6
4.857142857,5,5,3.625,3.5,2,5.142857143,6,7
6,6,6,4,4,,5,5,
6.333333333,6,6,6,6,,5.333333333,5,5
6.333333333,6,6,6.833333333,7,7,6,6,7
5.75,6,7,6,6,5,5.75,5.5,5
5.75,5.5,5,4.75,5,5,4.666666667,5,
5.125,5,5,6,6.5,7,5.142857143,6,7
5.333333333,5.5,5,5.5,6,6,5,6,7
5,6,6,5,5,,4.666666667,4,
7,7,7,6.666666667,7,7,6.666666667,7,7
6.833333333,7,7,6.833333333,7,7,6.666666667,7,7
6.4,7,7,6,6,6,5.8,6,6
4.5,5,5,3.5,4,5,3.5,4,5
5.5,5.5,5,5.666666667,6,6,4.5,5,6
5.5,5.5,,6.5,6.5,,5,5,
5.75,6,6,6,6,6,5.25,6,6
5,5,5,4.6,5,3,4.75,5,5
4,4,,4,4,,4.333333333,5,5
5.2,5,5,5,5,,5,5,
5.75,5.5,5,6.666666667,7,7,5.5,5.5,
5.5,6,6,5.25,5,5,4.333333333,5,
4.666666667,5,5,5.833333333,5.5,5,4.8,5,5
5.5,5.5,5,4.875,5,6,5.25,5,5
5,5,5,5.2,5,5,4.8,5,5
4.75,4.5,4,4,4,,3.5,4,5
5.285714286,5,5,5.571428571,5,5,5.285714286,5,5
6,6,,6,6,,6,6,
5.666666667,6,6,4.833333333,5,3,5,5,5
5.2,5,5,4,3,3,3.8,4,4
6.75,7,7,6.25,6.5,7,6.5,6.5,6
5,6,,5.666666667,5,5,4.666666667,5,
6.333333333,7,7,6.333333333,7,7,6.333333333,7,7
6,7,7,5.4,5,7,5.6,5,7
7,7,,7,7,,7,7,
6.1,6.5,7,5.8,6,7,5.6,6,7
6,6,6,6.75,7,7,6.666666667,7,7
5.5,5,5,4.5,4.5,,4.333333333,4,
6.333333333,6,6,6,6,,5,6,6
6.444444444,7,7,6.222222222,6,7,5.625,6.5,7
5.285714286,5,5,5,5,6,5.285714286,5,5
6.4,7,7,6,6,6,5,6,6
6.5,6.5,6,6.333333333,6,6,6.333333333,6,6
5.25,5,5,4.5,4.5,3,4.125,3.5,3
5.4,6,6,5.6,6,7,6.25,6.5,7
4.571428571,4,3,4.857142857,5,5,4.571428571,5,3
6,6,,5,5,,5,5,
6,6,6,4.2,4,3,4.5,4.5,4
6.4,6,6,6.4,7,7,6,6,6
6,6,6,6.75,7,7,6,6,6
6,6,,6,6,,6,6,
6.571428571,7,7,6.714285714,7,7,6.571428571,7,7
5.571428571,6,6,5.857142857,6,6,5.833333333,6,6
4.333333333,5,5,4,4,,4.333333333,4,
6.333333333,7,7,5,6,,4.666666667,5,
6,6,5,6.4,6,6,5.5,6,6
5.857142857,6,6,5.285714286,7,7,5.142857143,5,5
5,5,5,4.4,5,5,4.6,5,7
5,5.5,,4.5,5.5,6,5.5,6,6
5.5,5.5,6,4.75,5,5,5,5,5
5.833333333,7,7,5.333333333,6.5,7,5,6,6
5.333333333,6,5,5.333333333,6,7,5.111111111,5,5
5.6,6,6,5.2,5,4,5.25,5.5,
5.75,6.5,7,5.125,6,6,5.125,6,6
